x,y,z
2349198,-3783,-1545328,12844
4637481,170443,-2859499,12792
6661453,531506,-4059321,12684
8136121,1039658,-5360094,12144
9552978,1798846,-7051689,12012
10590433,3124214,-9311339,11588
11238543,4950708,-12047185,11412
11879032,6799333,-15088420,11304
12238024,8301454,-18377494,11388
11776471,9272577,-22042665,11348
10847526,9643572,-26309785,11232
9855616,9774451,-31478423,10880
9046830,10409799,-37764187,11224
7771505,12066324,-45169179,11212
5920098,14385795,-53248031,11328
3491051,16769749,-61348147,11800
1058150,18647407,-68766048,11784
-1048067,19528064,-75012999,11456
-3238047,19098161,-80191389,12028
-5895020,17940856,-84810319,13220
-8270444,16977434,-89562812,14076
-10166662,16590714,-94623025,13984
-11674724,16689163,-99775218,13948
-12937166,17250029,-104922000,13368
-13822954,18327567,-109951306,12924
-14774202,19475485,-114588809,13180
-15916732,20550974,-118422712,13304
-17129021,21546464,-121544961,13328
-18653618,22159960,-124135221,13452
-20375757,21975075,-126270321,13432
-21889047,21112158,-128314863,13704
-23006765,19974330,-130690446,13476
-23845223,18703620,-133417069,13084
-24657054,17388995,-136391834,13208
-25634950,15936783,-139504923,13204
-27075434,14307792,-142757416,13584
-28480807,12816417,-145847453,14024
-29821765,11368066,-148139455,14548
-30816930,9729403,-149509649,14968
-31218581,7816335,-150625798,15276
-31114330,5875598,-151595113,15320
-30900795,3887670,-152068380,14852
-30690124,1999446,-152437119,14224
-30466938,780445,-153306922,13920
-30376090,40760,-154460790,13568
-30603307,-523074,-155518178,14000
-30910260,-825485,-156536298,14388
-31282945,-1192638,-157394936,14680
-31714609,-1811386,-157889696,15424
-32134403,-2792031,-157862085,15436
-32282236,-4020132,-157249595,15316
-31988952,-5234674,-156342393,14788
-31379130,-6306262,-155492082,14564
-30130363,-5998405,-154350675,14708
-30147384,-5106824,-153841808,14640
-30217706,-4116446,-153105276,14540
-30195447,-2936634,-152249667,14268
-30075228,-1817952,-151255431,13584
-29971787,-1099094,-150245970,13204
-29740526,-1036121,-149401482,12988
-29549639,-1824179,-148855588,12840
-29299922,-2923226,-148849553,12532
-29103930,-3806826,-149535671,12212
-29086679,-4348577,-151046529,12052
-29331681,-4665947,-153422265,12060
-29861388,-5153090,-156484016,12132
-30577381,-6234387,-160060948,12112
-31274669,-8276529,-163982339,12064
-31975191,-11272471,-168344745,12452
-32147426,-14069176,-172591031,14744
-30881345,-16216703,-175520065,15508
-28664694,-18127163,-177401009,14252
-26443853,-19218256,-178957651,15160
-24844746,-20047735,-179752071,14576
-23105436,-23183682,-182428288,14648
-22693004,-23767042,-183185284,14620
-22214841,-24323592,-183953372,14692
-21797759,-24748523,-184646099,14840
-20341134,-25235462,-185995307,14616
#!,zero-counter: 18
-20321353,-26653554,-187098662,14748
#!,zero-counter: 119
-40145106,-10622812,-581511583,14736
#!,zero-counter: 377
-65348559,19912676,-762745181,14792
-66153434,20979578,-762535398,14900
-67247426,22539502,-762105266,14984
-68590782,24424500,-761482498,14824
-70278082,26644096,-760731870,14748
-72143539,29086920,-759917017,15448
-74098442,31846055,-758971197,16252
-75125093,34805372,-757566073,17268
-75480487,38559345,-755283335,17636
-75845688,42897927,-752036950,17836
-76741225,47694719,-747828566,17472
-78045645,52789190,-742673914,16712
-79773942,58319581,-736866611,16164
-82088737,64511874,-730342327,15532
-84700682,70942847,-723093942,14472
-87409629,77079153,-715370633,13408
-88710387,79981705,-706979472,12952
-92842692,85457859,-699506202,12028
-97723374,89808345,-692948827,11172
-103731333,94197794,-687445073,10372
-110314816,98047295,-682728588,11132
-117431541,101658410,-678658917,11160
-123876830,104418360,-675297126,10360
-129712684,107010018,-672628114,10576
-134915449,109208641,-670540174,10972
-137008771,108196989,-668988755,2652
-136666535,104556969,-667272742,11892
-127271563,91584932,-666008991,10572
-139294014,94828608,-664318571,13188
-149947171,96089628,-662633312,12092
-154765439,92488482,-661301678,12348
-158057235,88947949,-660143004,12432
-161372763,87011492,-659214370,12892
-165936380,88131532,-659141437,14100
-167813190,88606496,-660463864,16168
-167285495,88340556,-663304612,16224
-164351297,86695329,-666843303,16164
-157682157,82218241,-670130060,15144
-149746505,77256802,-672659625,13296
-143180256,73998169,-674364454,13120
-137901241,72164338,-675390299,12596
-134131642,72005531,-675993769,12340
-130692241,72517503,-676887762,12124
-127387761,73388750,-678108645,12488
-123951613,74605421,-679698890,12808
-120271379,75609922,-681524681,13164
-116703572,76033445,-683517039,12916
-112868955,75267068,-685393905,12092
-108623744,73258651,-686902653,11004
-104373140,70734915,-688140167,11044
-99992590,68198966,-689211295,11788
-92976301,63858678,-690457675,12644
-86465268,60326528,-692659344,13508
-81175579,57483125,-695278706,13908
-76506945,54368123,-697900491,13660
-72767648,51378748,-700569283,14144
-69817489,48746369,-703102445,14436
-67136753,46247785,-705560109,14888
-64118009,43481037,-707784539,15008
-61542724,41085194,-709860918,14568
-60232657,39487261,-711349756,13324
-59082063,38103961,-712314456,12440
-57682471,36616087,-713060822,12060
-55570086,35024616,-714085100,11876
-52667899,33480447,-715382068,11636
-49477689,32232305,-716933699,11680
-46290598,31297926,-718353870,11636
-43107787,30470552,-719721680,11140
-40074699,29611655,-721073114,11284
-37219621,28349557,-722495779,11348
-34860776,26558326,-724126541,11668
-32918815,24378864,-725991413,13092
-31564809,22050893,-727943689,14724
-30936771,19735068,-730082559,15832
-31136755,17325336,-732388243,16392
-31767349,14696731,-734916828,16208
-32796322,11750575,-737890169,15656
-34781919,8947817,-741150665,15040
-37493013,6665797,-744705435,15364
-40432157,4906840,-748256852,15752
-43205268,3629070,-751507196,16212
-45607855,2418095,-754300692,15724
-47717845,1195732,-756628156,15372
-49466149,-267834,-758573376,15452
-52060602,-7599830,-764934907,15592
-54616658,-7395489,-765232376,14792
-54589088,-6912521,-764576471,14492
-55037388,-6277977,-763852282,14132
-55814725,-5425656,-763170224,14424
-56435862,-4436754,-762585232,14472
-56776949,-3278487,-762016278,14856
-56987242,-2147030,-761627574,15100
-57253994,-1146843,-761380395,14684
-57676172,-144475,-761388892,13908
-57846524,887545,-761750518,13060
-58078123,2031676,-762574538,12860
-58260060,3360578,-763858746,13564
-57970519,5060251,-766107460,14328
-57097063,6434230,-768866588,14712
-56389794,7368704,-771209354,15224
-55759859,7627042,-772819908,15032
-55559604,7283694,-773895168,14672
-55754262,6878223,-774853511,14180
-55789690,6447054,-776183043,13872
-55825961,6267167,-778046941,13732
-56007113,6282292,-780422536,14032
-56366049,6683154,-783127940,14376
-56778091,7330423,-785945849,14788
-57272853,8048824,-788418655,15568
-57731603,8618333,-790018329,16004
-57966806,8803126,-790581509,16252
-58161354,7970643,-789292069,15592
-58531120,7235754,-788087140,15428
-58918624,6601845,-786642142,14900
-59198571,6241386,-785220405,14684
-59360184,6104209,-783864835,14316
-59672569,6117493,-782526952,14600
-60101997,6098570,-781088029,14732
-60532021,6079258,-779680524,14780
-61041898,5995891,-778293796,14744
-61582131,5838286,-776750178,15052
-61837039,5669145,-775394923,14680
-61823149,5768140,-774604978,14628
-62158590,7431070,-775227999,14436
-62500642,7850452,-776285755,14756
-62945018,7945564,-777295818,14628
-63609022,7741162,-778201094,14192
-64683960,7125942,-779157461,13652
-66041220,5984134,-780336317,12832
-67769114,4485775,-781754258,12444
-69841845,2806045,-783557965,13172
-69832921,-430424,-785281823,26132
-71172051,-1901168,-786188672,16040
-71746930,-3250042,-786836061,14664
-71890162,-4178810,-787338016,15572
-70791861,-5127751,-786958341,15080
-70326052,-5814221,-786999979,14924
-70061877,-6756102,-787284699,14964
-69866377,-7780910,-787640869,15128
-69768175,-8618046,-787940408,15128
#!,zero-counter: 76
-73256781,-10763365,-782160229,15016
#!,zero-counter: 3688
-122058105,32671254,-782452948,14748
-122813872,32936681,-782365895,15072
-123785069,33210783,-782243247,15248
-125345659,33525380,-782085277,14700
-126172929,33671204,-781979058,15288
#!,zero-counter: 27
-128032646,34792942,-781184921,15188
-129925036,34926009,-780665731,15228
-132232596,35655176,-779799082,15480
-133869028,37217602,-778303795,16740
-134210217,39882740,-775618468,17444
-134046729,42582830,-772341304,17996
-133359548,43900327,-769679568,16608
-132738439,44803336,-767666432,15364
-132580552,45777953,-765816101,14604
-133329957,46995014,-763463064,15104
-135100034,48719723,-760590014,17572
-137770039,51703242,-756415894,19368
-139241880,56503465,-750892603,13812
-141185842,61816200,-744688018,9620
-143874800,66568117,-738924215,7976
-147803140,69155856,-734692459,7536
-151209620,70425723,-732544616,8728
-152045943,70722010,-732667114,10636
-152277724,69426153,-734910143,12768
-152145128,67656549,-738440801,15284
-151350301,65843733,-742178709,20436
-150744294,64637056,-745202732,22016
-150044765,62705137,-746948338,19628
-148819726,60783001,-747564507,13932
-146584471,59002716,-747683205,14548
-144201569,57403767,-748124586,14780
-141828345,55972947,-749008343,14696
-139502696,55294680,-750240998,14068
-137229925,55092048,-751863827,13712
-134926111,54901253,-754131814,14112
-132638287,54595435,-756912356,14200
-130349619,54110442,-759869585,16040
-128308280,53211156,-762488598,14632
-126462282,51856709,-764650166,13028
-123903789,49566118,-766584605,13312
-121379697,46157037,-768582312,13480
-118910647,42281260,-770694460,12980
-117069337,39072406,-773088869,15240
-116189812,36510301,-775598017,16116
-115800438,34656749,-778433997,16256
-115626888,33248210,-781466662,16204
-115301570,30562005,-786938207,14540
-115554937,31705423,-787430577,14888
-116094834,32754844,-787756148,14316
-116806968,33718032,-788076947,14440
-117487057,34433565,-788403328,14944
-117177761,33376169,-788101546,15000
-117355105,32113771,-787635742,14384
-117302834,30990833,-787384947,14736
-116870392,30115999,-787500746,14644
-116249516,28688539,-787821725,15092
-115819477,28048718,-788123407,15084
-115473560,27330132,-788287665,15136
